stems,corpora presence count,all tokens,all Concepts,average density across ALL corpuses,tokens in studies,density in studies,Concepts in studies,tokens in comments,density in comments,Concepts in comments,tokens in survey,density in survey,Concepts in survey,average density across concerned corpora
present,2,"{'present': 2, 'presentation': 1, 'presented': 1}","{'SHOW': 2, 'ENCODINGS': 1, 'CONVEY': 1}",0.044006568,,0,,{'present': 1},0.028571429,{'SHOW': 1},"{'presentation': 1, 'presented': 1, 'present': 1}",0.103448276,"{'ENCODINGS': 1, 'SHOW': 1, 'CONVEY': 1}",0.066009852
code,1,{'coding': 1},{'ENCODINGS': 1},0.00952381,,0,,{'coding': 1},0.028571429,{'ENCODINGS': 1},,0,,0.028571429
unclear,1,{'unclear': 1},{'CLARITY': 1},0.00952381,,0,,{'unclear': 1},0.028571429,{'CLARITY': 1},,0,,0.028571429
mean,2,"{'meaning': 5, 'means': 1}","{'MEANING': 3, 'TAKEAWAY': 3}",0.066995074,,0,,{'meaning': 1},0.028571429,{'MEANING': 1},"{'meaning': 4, 'means': 1}",0.172413793,"{'TAKEAWAY': 3, 'MEANING': 2}",0.100492611
spot,1,{'spot': 1},{'SEARCH': 1},0.00952381,,0,,{'spot': 1},0.028571429,{'SEARCH': 1},,0,,0.028571429
conceptu,1,{'conceptualize': 1},{'TAKEAWAY': 1},0.00952381,,0,,{'conceptualize': 1},0.028571429,{'TAKEAWAY': 1},,0,,0.028571429
distract,2,"{'distracting': 2, 'distracted': 1}",{'FOCUS': 3},0.030541872,,0,,{'distracting': 2},0.057142857,{'FOCUS': 2},{'distracted': 1},0.034482759,{'FOCUS': 1},0.045812808
chao,1,{'chaos': 1},{'GUIDANCE': 1},0.00952381,,0,,{'chaos': 1},0.028571429,{'GUIDANCE': 1},,0,,0.028571429
easier,2,{'easier': 2},{'EASINESS': 2},0.021018062,,0,,{'easier': 1},0.028571429,{'EASINESS': 1},{'easier': 1},0.034482759,{'EASINESS': 1},0.031527094
busi,1,{'busy': 1},{'CLUTTER': 1},0.00952381,,0,,{'busy': 1},0.028571429,{'CLUTTER': 1},,0,,0.028571429
messi,1,{'messy': 2},{'CLARITY': 2},0.019047619,,0,,{'messy': 2},0.057142857,{'CLARITY': 2},,0,,0.057142857
comfort,1,{'comfortable': 1},{'SUPPORT': 1},0.00952381,,0,,{'comfortable': 1},0.028571429,{'SUPPORT': 1},,0,,0.028571429
richer,1,{'richer': 1},{'RICH': 1},0.00952381,,0,,{'richer': 1},0.028571429,{'RICH': 1},,0,,0.028571429
neat,1,{'neat': 1},{'AESTHETICS': 1},0.00952381,,0,,{'neat': 1},0.028571429,{'AESTHETICS': 1},,0,,0.028571429
hamper,1,{'hamper': 1},{'SUPPORT': 1},0.00952381,,0,,{'hamper': 1},0.028571429,{'SUPPORT': 1},,0,,0.028571429
appropri,1,{'appropriate': 1},{'RELEVANT': 1},0.00952381,,0,,{'appropriate': 1},0.028571429,{'RELEVANT': 1},,0,,0.028571429
effici,1,{'efficient': 1},{'SUPPORT': 1},0.00952381,,0,,{'efficient': 1},0.028571429,{'SUPPORT': 1},,0,,0.028571429
highlight,1,{'highlight': 1},{'ENCODINGS': 1},0.00952381,,0,,{'highlight': 1},0.028571429,{'ENCODINGS': 1},,0,,0.028571429
attract,2,"{'attract': 1, 'attracting': 1}",{'FOCUS': 2},0.021018062,,0,,{'attract': 1},0.028571429,{'FOCUS': 1},{'attracting': 1},0.034482759,{'FOCUS': 1},0.031527094
attent,2,{'attention': 3},{'FOCUS': 3},0.030541872,,0,,{'attention': 2},0.057142857,{'FOCUS': 2},{'attention': 1},0.034482759,{'FOCUS': 1},0.045812808
complex,2,{'complex': 3},{'COMPLEX': 3},0.030541872,,0,,{'complex': 2},0.057142857,{'COMPLEX': 2},{'complex': 1},0.034482759,{'COMPLEX': 1},0.045812808
disorgan,1,{'disorganized': 1},{'GUIDANCE': 1},0.00952381,,0,,{'disorganized': 1},0.028571429,{'GUIDANCE': 1},,0,,0.028571429
unapp,1,{'unappealing': 1},{'AESTHETICS': 1},0.00952381,,0,,{'unappealing': 1},0.028571429,{'AESTHETICS': 1},,0,,0.028571429
insight,2,{'insight': 2},{'TAKEAWAY': 2},0.021018062,,0,,{'insight': 1},0.028571429,{'TAKEAWAY': 1},{'insight': 1},0.034482759,{'TAKEAWAY': 1},0.031527094
prefer,1,{'prefer': 1},{'AESTHETICS': 1},0.00952381,,0,,{'prefer': 1},0.028571429,{'AESTHETICS': 1},,0,,0.028571429
relev,2,{'relevant': 5},{'RELEVANT': 5},0.055500821,,0,,{'relevant': 1},0.028571429,{'RELEVANT': 1},{'relevant': 4},0.137931034,{'RELEVANT': 4},0.083251232
show,2,"{'show': 5, 'shows': 1}",{'SHOW': 6},0.065024631,,0,,{'show': 2},0.057142857,{'SHOW': 2},"{'show': 3, 'shows': 1}",0.137931034,{'SHOW': 4},0.097536946
balanc,1,{'balance': 2},{'BALANCE': 2},0.019047619,,0,,{'balance': 2},0.057142857,{'BALANCE': 2},,0,,0.057142857
occlus,1,{'occlusion': 1},{'CLUTTER': 1},0.00952381,,0,,{'occlusion': 1},0.028571429,{'CLUTTER': 1},,0,,0.028571429
crowd,1,{'crowded': 1},{'CLUTTER': 1},0.00952381,,0,,{'crowded': 1},0.028571429,{'CLUTTER': 1},,0,,0.028571429
conveni,1,{'convenient': 1},{'SUPPORT': 1},0.00952381,,0,,{'convenient': 1},0.028571429,{'SUPPORT': 1},,0,,0.028571429
abnorm,1,{'abnormal': 1},{'INFORMATIVE': 1},0.011494253,,0,,,0,,{'abnormal': 1},0.034482759,{'INFORMATIVE': 1},0.034482759
amount,1,{'amount': 1},{'ENOUGH': 1},0.011494253,,0,,,0,,{'amount': 1},0.034482759,{'ENOUGH': 1},0.034482759
caption,1,{'caption': 1},{'REFERENCE STRUCTURES': 1},0.011494253,,0,,,0,,{'caption': 1},0.034482759,{'REFERENCE STRUCTURES': 1},0.034482759
characterist,1,{'characteristics': 1},{'DATA FEATURES': 1},0.011494253,,0,,,0,,{'characteristics': 1},0.034482759,{'DATA FEATURES': 1},0.034482759
choic,1,{'choices': 1},{'INTENT': 1},0.011494253,,0,,,0,,{'choices': 1},0.034482759,{'INTENT': 1},0.034482759
cluster,1,{'clusters': 1},{'DATA FEATURES': 1},0.011494253,,0,,,0,,{'clusters': 1},0.034482759,{'DATA FEATURES': 1},0.034482759
communiti,1,{'communities': 1},{'DATA FEATURES': 1},0.011494253,,0,,,0,,{'communities': 1},0.034482759,{'DATA FEATURES': 1},0.034482759
context,1,{'context': 1},{'CONTEXT': 1},0.011494253,,0,,,0,,{'context': 1},0.034482759,{'CONTEXT': 1},0.034482759
decis,1,{'decisions': 1},{'GOAL': 1},0.011494253,,0,,,0,,{'decisions': 1},0.034482759,{'GOAL': 1},0.034482759
descript,1,{'description': 1},{'TAKEAWAY': 1},0.011494253,,0,,,0,,{'description': 1},0.034482759,{'TAKEAWAY': 1},0.034482759
detail,1,{'details': 3},{'DETAILS': 3},0.034482759,,0,,,0,,{'details': 3},0.103448276,{'DETAILS': 3},0.103448276
direct,1,{'direction': 1},{'GUIDANCE': 1},0.011494253,,0,,,0,,{'direction': 1},0.034482759,{'GUIDANCE': 1},0.034482759
